category,name,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,hod_designation,hod_name,hod_contact,cp_designation,cp_name,cp_contact,gi_telephone,gi_fax,gi_email,gi_website,misc_info,services - services
Boards,Ceylon Electricity Board,No. 50,Chittampalam A Gardiner Mawatha,P.O.Box 540,Colombo 02,Sri Lanka.,,,, Deputy General Manager (IT) ,W.I. Dassanayake , 011 2466566, +94-011-2324471-8/+94-011-2329894/+94-011-2329108, , ,http://http://www.ceb.lk,,Change of Tariff : Obtaining an Ordinary Supply Electricity Service within Colombo Municipal Limits : Obtaining a New Ordinary Electricity Supply (Other than Colombo City) : Obtaining a New Bulk Supply Electricity Service (Within Colombo City Limits) : Obtaining a New Bulk Supply Electricity Service  (Areas other than Colombo City) : Change of the Name of Electricity Consumer : Obtaining a Temporary Connection  (Areas other than the Colombo City) : Obtaining a Temporary Connection from Another House (Areas Other than the Colombo City) : Change of the Place where the Meters is Fixed : Electricity Break Down Service and other Particulars.
Institutes & Institutions,Sri Lanka Standards Institution (SLSI),17 Victoria PlaceOff Elvitigala Mawatha Colombo 08 Sri Lanka,,,,,Director General,Mrs Nayana Satharasinghe,+94 11 2671574, Acting Director General ,Mrs Nayana Satharasinghe , +94 11 2671574, +94  11 2 671 567 - 72, +94 11 2 671 579, slsi@slsi.lk,http://www.slsi.lk,"(Victoria Place is the lane adjoining the Telecommunication Regulatory Commission) : Bus Route Nos. 103, 135,131, 178
Bus halts:","Contact details : Tea Certification : Product Certification Scheme (SLS Marks scheme) : Energy Efficiency Rating : SLSI Library Membership : Import Inspection Scheme : Library Services : Product Testing : Systems Certification (ISO 9001, ISO 14001, ISO 22000, GMP, HACCP etc) : Metrology/Calibration : Standards Formulation : Training : National Quality Award"
Boards,Atomic Energy Board,60/460, Baseline Road, Orugodawatta, Wellampitiya.,,Chairman,Mr. Lakshitha Jayawardhana,"+94 112 547 331, +94 718 62 581", Information Officer ,MS. H.L.C. Nanayakkara , +94 112 533 427, +94  112 533 427 / 8: +94 112 533 449, +94 12 533 448, officialmail@aeb.gov.lk,http://www.aeb.gov.lk,Location Map,Related Services : Radiation Protection Regulatory Activities : Accredited Secondary Standards Dosimetry Calibration Laboratory service : Personal Monitoring Service :  Nuclear Analytical service  : NDT Inspection Services  : Traning
Boards,Board of Investment of Sri lanka,Head Office :P. O. Box 1768,Levels 05, 06, 08, 09,Chairman,Mr. Dumindra Ratnayaka,"+94-11-2436639,+94-11-2430514", Assistant Director (Research & Policy Advocacy) ,Ms. Jeewani Sewwandi ," +94 11 2 346326, +94 11 2 427381", +94-11-2434403 - 5: +94-11-2435027: +94-11-2385972 - 6: +94-11-2346131 - 3: +94-11-2447531:, +94-11-2447995: +94-11-2430512: +94-11-2422407: +94-11-2329795, info@boi.lk,http://%20www.investsrilanka.com,Location Map,Grant approval to set up incentivised Investment Projects : Grant approval to set up Investment Projects : Registration of Land Owners in the “BOI Land Bank” : Find lands  through the “BOI Land Bank” : Find Employment through the “BOI On-line Job Bank” : Find Employment through  “BOI Zonal Job Banks” : Registration of Suppliers for  the Board of Investment : Provide Contact Details of BOI Approved Projects : Provide Performance Details of BOI Approved Projects : Grant approval for Imports on Duty Free Basis : Grant approval for Exports of products : Grant approval to sell finished products in the Local Market : Grant approval for sub Contracting of Production : Grant approval to Transfer Raw Materials or Accessories : Issue Sri Lanka Certificate of Origin (COO) : Grant approval for Indirect Exports : Grant approval to sell redundant items in the Local Market
Institutes & Institutions,National Institute of Occupational Safety and Health ,97,Jawatte Rd,Colombo5.,,,Director General,Dr. H.D. Wickramathilaka,+94 11 2 501403, Librarian ,Mrs. V. De. Zoysa , +94 11 2 598672, 011-2585425, 011- 2585425, dolnioshl@sltnet.lk,http://,,On Site /In House Awareness Programmes : Diploma in OSH
Institutes & Institutions,"National Institute of Labour Studies, Sri Lanka",No. 267, Pannipitiya Road, Pelawatta,Battaramulla.,,Director General,Mr. Saman D. Waduge,Tel: +94 11 2786549, Accountant ,Ms. Lankika Weerasinghe , +94 11 2 786546, +94 11 2786547, +94 11 2786547, admin@nils.gov.lk,http://www.nils.gov.lk,,Courses for Labour Law & Industrial Relations : Courses for Human Resource Management : Courses for Workplace Productivity : Research : Consultancy : Conducting Examinations : On Demand Training : Language Training
Institutes & Institutions,Institute of Policy Studies of Sri Lanka ,Institute of Policy Studies of Sri Lanka 100/20, Independence AvenueColombo 07Sri Lanka.,,,,Executive Director & Fellow ,Dr. Saman Kelegama,+94-011-214300, Head of Publications and Communications ,Charmaine Wijesinghe , +94-011-2143234, +94-11-2143100: +94-11-2665068, +94-11-2665065, ed@ips.lk,http://www.ips.lk,� : Location Map,
Institutes & Institutions,Medical Research Institute,527,Sir Danister De Silva Mawatha,(P.O Box 527), Colombo 08,,Acting Director,Dr Anil Samaranayaka,+94-112677715,  Acting Director MRI ,Dr Anil Samaranayaka (Acting Director) ," +94112693532-34,+94-112677715", +94112-693532-34, +94112-691495, director@mri.gov.lk,http://http://www.mri.gov.lk,Location Map,MRI : Teaching : Facilitate researchers
Institutes & Institutions,Hector Kobbekaduwa Agrarian Research and Training Institute,Hector Kobbekaduwa Agrarian Research and Training Institute114, Wijerama Mawatha,Colombo 07,Sri Lanka.,,Director,Mr. Lalith Kantha Jayasekara,"
					",  , , +94-11-2698539-41 / +94-11-7417100-5, +94-11-2696743/ +94-11-2696743, +94-11-2696743, director@harti.lk,http://www.harti.gov.lk,Location Map,
Institutes & Institutions,Industrial Technology Institute,No. 363, Bauddhaloka Mawatha, Colomco 07,,,Director/CEO, Dr. Sirimal Premakumara.,+94-11-2379802,  , , +94-11-2379800, +94-11-2379800, +94-112379850, info@iti.lk,http://http://www.iti.lk%20,Location Map,Testing and Calibration services : Contracts and consulting service  : Training  : Sciences and Technology Information Services 
Commissions,University Grants Commission,No: 20,Ward Place, Colombo-07.,,,Chairman,Prof. Mohan de Silva,+94 11 2 696511, Head/Higher Educational Information Technology Division ,Dr. B. N. S. Lankasena  , +94 11 2 685502, +94 11 2 695301: +94 11 2 695302: +94 11 2 692357: +94 11 2 675854, +94 11 2 688045, nalaka@ugc.ac.lk,http://www.ugc.ac.lk,Location Map,Admission to a state funded University/Higher Educational Institute  : Obtaining Financial Assistance/Scholraships for Undergraduate Studies  : Obtaining a list of Universities established under the Universities Act No. 16 of 1978 : Verification of recognition of a Foreign University/Higher Educational Institue 
Institutes & Institutions,Ceylon-German Technical Training Institute,582, Galle Road,Mount Lavinia (Moratuwa),Sri Lanka.,,Director/Principal (Acting),Mr. Shantha Karunarathna,+94 11 2 605625,  , , , +94 11 2 605625: +94 11 2 605535, +94 11 2 632391, cgtti[at]sltnet.lk,http://http://www.cgtti.lk,,
Commissions,Tertiary and Vocational Education Commission,'Nipunatha Piyasa' 3rd Floor,354/2, Elvitigala Mawatha,Colombo 05.,,Director General,Dr. S.D.R. Perera, +94 11 5848141, Director Information Systems ,Mr. J.A.D.J. Jayalath , +94 11 5 849069, +94-11-5849291, +94-11-2555007, info@tvec.gov.lk,http://www.tvec.gov.lk,Location Map,Register all TVET institutions : Accreditation of TVET courses : Quality Management System (QMS) : Vocational Education Training (VET) Plans : Financial Assistant : Research Cell : NVQ certificates : Information Systems 
Commissions,Sri Lanka Legal Aid Commission,No 129,High Court Complex,,,,Chairman,Mr.Rohan Sahabandu PC,"011-2433618
011-2395894", Legal Officer  ,Ms. Harshini Balaharuwa , +94 11 2433618, 0094-11-2433618:0094-011-2395894, 0094-11-2433618, legalaid@sltnet.lk,http://www.legalaid.gov.lk,"Hulftsdorp Street, : Colombo 12. : -",Complain about Corruptions : Obtain Legal Aid Common Procedure : Obtain Civil Documentation  : Legal Aid for Consumers : Legal Aid for disable person : Legal Aid for Elders : Legal Aid for IDP : Legal Aid for Migrant Workers : Report Human Rights violations : Request Awareness Programmes
Commissions,Public Service Commission,No. 177,Nawala Road,Narahenpita,Colombo 05.,,Secretary,Mrs. T.M.L.C Senaratna,0112136602, Addittional secretary (Administration) ,Mr. A. Kulathunga , 0112136604, 011-2136600: 011-2136650: 011-2136700, 011-2369305: 011-2369302, sec-psc@sltnet.lk,http://www.psc.gov.lk,Location Map,General : Establishment Division : Disciplinary Division : Appointment and Promotion Division : Appeals Division
Commissions,Public Utilities Commission of Sri Lanka,06th Floor, BoC Merchant Tower, No. 28, St. Michael's Road, Colombo 03.,Chairman,Ms. Pushpa Wellappili,, Deputy Director - Corporate Communications ,Mr. Jayanat Herat , 011-2392606 Ext: 109, 011-2392607, 011-2392641, info@pucsl.gov.lk,http://http://www.pucsl.gov.lk,Location Map,
Commissions,Election Commission,Elections Secretariat,P.O. Box 02, Sarana Mawatha,Rajagiriya,10107,Chairman,Mr. Mahinda Deshapriya,0112868444 | 0112868445, Director (ICT) ,Mr. S. Ekenayake , 0112879570 ext 450, 0112868441 | 0112868442 | 0112868443, 0112868426, info@elections.gov.lk,http://www.elections.gov.lk,,"Apply for Postal Voting  : Conducting Presidential, Parliamentary, Provincial and Local Elections : Contact Details : Process of Registration / Revision of Electoral Registers : Inclusion of Names in the New Register : Objection on Inclusion of a Name"
Commissions,Human Rights Commission of Sri Lanka,No. 108,Barnes Place,Colombo -07.,,,Secretary,Mrs. C. Ellawala,+94 11 2 -689558, Director - Amin & Finance ,Mr. B.A.R. Bamunusinghe , +94 11 2 662098, +94 11 2 694925 / +94 11 2 685981/ +94 11 2 685980    , +94 11 2 694924 / +94 11 2 -696470, admindirector.hrcsl@gmail.com,http://www.hrcsl.lk,,"Protective and Promotion of Human Rights Legally, Practically and on Principle"
Commissions,Official Languages Commission,4th Floor,"""Bhasha Mandiraya""",No. 341/7,Kotte Road,Rajagiriya.,Chairman,Mr. Nimal R. Ranawaka,0112864214, Senior Clerk (English) ,S.P. Karunasena , 0112871378, 0112871378, 0112871379, olc@sltnet.lk,http://www.languagescomgov.lk,Location Map,
Commissions,Commission to Investigate Allegations of Bribery or Corruption ,Contact Person,,,,,Chairman,Justice D.J.De S. Balapatabendi,+94 11 2 595039 , IT Assistant ,Mr. N. C. Perera , +94 11 2 596365, +94 11 1954 (Hot Line ): +94 11 2 586257( 24 Hours ) :+94 11 2 586851(Director General), +94 11 2 595045: +94 11 2 596014, ciaboc@eureka.lk : sccy@sltnet.lk,http://www.ciaboc.gov.lk,,"We INVESTIGATE, PROSECUTE, PREVENT Incidents of Bribery or Corruption."
Bureaus,Women’s Bureau Of Sri Lanka,<!--		@page { size: 8.5in 11in; margin: 0.79in }		P { margin-bottom: 0.08in }	-->,,,,,Director,Mrs. N. R. Gunasekara,, Research Officer ,Mrs. Manel Chandrasekara , +94 11 2 368211, +94 11 2 504935 , +94 11 2 504934 , ,http://,"177,
Nawala Road,
Narahenpita,
Colombo.",Economic Empowerment Program : Wanitha Shakthi Bank Societies : Organizing Rural women to establish women societies based on the Gramaseva divisions of the resp
Bureaus,Geological Survey and Mines Bureau,569, Epitamulla Road,Pitakotte,,,Chairman,Mr. Asela Iddawela ,"+94 11 2886268
", Registrar/ Information Officer  ,Mr. T. Dhanayake  , +94-11-2886289, +94 11 2886289/2886290/2887820/2887821/2887822/2887823, +94-11-2886273, gsmb@slt.lk,http://www.gsmb.gov.lk,Location Map,"Obtaining Permit for Mining License for Mineral : Obtaining License for Mineral Export : Obtaining Trading License for Mineral : Obtaining Transport License for Mineral Transport : Geological Maps  : Mineral Resources Exploration :  Analytical Laboratory : Petrology Laboratory : Seismic Data and Tsunami Center : Obtaining Permit for Mineral Excavation.  : Obtaining Permit for Mineral Exploration : Obtaining Permits for Export Mineral  : Obtaining Trade Permit for Sand and Exportable Mineral  : Obtaining Transport Permits for Sand Clay, Gravel : Geological Maps : Survey of Mineral Deposits : Other Geological Surveys : Analysis of Seismic Data and Tsunami Warnings : Rock Laboratory  : Seismic Information"
Bureaus,CREDIT INFORMATION BUREAU OF SRI LANKA,Whiteaways Building, No.25, Sir Baron Jayathilake Mawatha, Colombo 01, Sri Lanka,Actg. General Manager,Mr. Janaka Lakmal,"Whiteaways Building, No.25, Sir Baron Jayathilake Mawatha, Colombo 01, Sri Lanka", Chief Manager - Operations ,Ms. Sanjeewanie Ratnayake , 0112131320, 0112131313, 0112338259, info@crib.lk,http://http://www.crib.lk,Location Map,Credit Information Reports (CIR) : Self Inquiry Credit Report (iReport)
Bureaus,Sri Lanka Bureau of Foreign Employment ,No.234, Denzil Kobbekaduwa Mawatha,koswatta, Battaramulla.,,Chairman,,+94 11-2867599  Fax : +94 11 2864141, Deputy General Manager (Information Technology) ,Mr. A.K.U. Rohana , Tel :+94  112 867976  Fax:+94 112 866002, +94-11-2864101-5 :+94 11 2880500, +94-11-2880500, chmn@slbfe.lk,http://www.slbfe.lk,,Procedures for korean recruitment : Training for foreign employment : Register a migrant worker : How to obtaining a Licence for a new recruitment agency : Renewing Licenses of the Foreign Recruitment Agencies : Welfare facilities for migrant workers : Procedures for complaints : Services of Airport and Sahana Piyasa welfare centre
Other Government Organizations,University of Vocational Technology (UNIVOTEC),No.100, Kandawala Road,,,,Vice Chancellor,Dr T.A. Piyasiri ,94-0112630704, Senior Lecturer ,Mrs. T.K. Malwatta  , , 94-0112630700, 94112630705, vc@univotec.ac.lk,http://http://www.univotec.ac.lk,Rathmalana,Bachelor of Education in Technology : Bachelor of Education in Technology (English Language Teaching) : Bachelor of Technology in ICT (Multimedia & Web Technology)  : Bachelor of Technology in ICT (Network Technology) : B.Tech. in ICT (Software Technology) : Degree Programmes
Bureaus,Central Engineering Consultancy Bureau,No. 415,,,,,Chairman,Eng. N. Rupasinghe,0112687487, General Manager ,Eng. K.L.S. Sahabandu ," 0112668803, 0714277611", 0112668800:011696217, 011687369, cecb@slt.lk,http://www.cecb.lk,"Bauddhaloka Mawatha, : Colombo 07. : Location Map",Building Services : Hospital Development : Architectural Services : Structural Designs : Quantity Surveying : Roads and Highways : Ports / Coastal Works : Airport Development : Water Supply and Drainage : Water Resource and Development : Electrical and Mechanical Works : Geo-technical Investigation and Laboratory Services : Engineering Geology and Site Investigation : Information Technology (IT)
Other Government Organizations,Tower Hall Theatre Foundation,#123,"""Savsiripaya""",Wijerama Mawatha,Colombo 07.,,Director General,Mr. Lionel Fernando,Tel:+94 112 686 088, Assistant Director (Education/Research and Conservation) ,Mr. Sampath Perera , +94 112 695 633, +94 112 682 324, +94 112 678 517, towersl@sltnet.lk,http://www.towerhall.lk,Location Map,Tower Hall : Elphinstone Theatre : Sarasavipaya  : Rukmani Devi  Memorial Centre - Negambo : Tower Drama & Theatre School : Tower Sound Studio : Tower Publication &  Tower Book Shop : Tower Transport Service
Other Government Organizations,Sri Lanka Planetarium,Prof. Stanley Wijesundaran MawathaColombo 7,,,,,Director,K.P.K Koralagama,0112586499, Science & Tecnology Officer ,Himali C Bandara , 0112586499, 0112586499, 0112586499, director@planetarium.gov.lk,http://www.planetarium.gov.lk,Location Map,Planetarium Presentations : Mobile Planetarium
Other Government Organizations,Strategic Enterprise Management Agency (SEMA),No. 21,Janadhipathi Mawatha,Colombo 01.,,,Chairman,Mr. Asoka Abeygunawardena,0112426100, Manager - Communication ,Darshanie Amarasinghe , 0112426100, 011-2426100, 011-2392968, darshanie@sema.gov.lk,http://www.sema.gov.lk,,Principal Services 
Other Government Organizations,National Youth Sevices Council (NYSC),No 65,,,,,Chairman/Director General,"Mr. W.G.S.Erandika ,Attorney-at-Law, LLB(Sri Lanka)AD,Dip. Business Administration (Lon)",Tel- +94 112 850 990 Fax- +94 112 850 991, Director Administrator ,Mr. Manula Chamal Perera , 011 2850993 , 011 2850990 011 2850996 Ext. 113/ 180, 011 2850991 , info@srilankayouth.lk,http://http://srilankayouth.lk,"HighLevel Road Maharagama, : Sri Lanka",Networking of Sri Lanka Youth : Vocational and Technical Training
Other Government Organizations,Srama Wasana Fund,Shrama Vasana Fund,6th Floor, Labour Secretariat,Narahenpita,Colombo 05.,Chairman,W.J.L.U. Wijayaweera,011-2582938, General Manager ,D. R. Jayalath , 011-2368215, 011-2368215, 011-2368979, ,http://-,Location Map,
Other Government Organizations,National Productivity Secretariat,,,,,,Director,Mr. W.M.D.S Gunarathna,, Productivity Development Assistant ,Mrs. Thanuja Dilrukshi , , +94 11 2 186031, +94 11 2 186025, nposl@nps.lk,http://www.productivity.gov.lk,"10th floor,
Sethsiripaya Second Stage,
Battaramulla",National Productivity Award Ceremony-Annual basis : Conducting poster Art Competition : Conducting Quality Circles Competitions : Training and awareness Programme
Other Government Organizations,National Disaster Relief Services Centre,Ministry of Disaster Management,No. 02-216,BMICH,Bauddhaloka Mw.,Colombo 07,Asst. Director,Mr. A.W.M. Rifa Wadood,+94 11 2681492, Data Entry Operator ,Mr. P. L. L. P. Pannila , +94 11 2681492, +94-11-269 5909,  +94-11-2681493, dndmc@sltnet.lk,http://www.ndmc.gov.lk,,Cooked Meals for People Subject to Distress : Dry Rations Meals for People are Subject to Distress  : Funeral Aids In Respect of Those Who Died of Disaster : Obtain Kitchen Equipment Subsidy for Broken down Families : Subsidy for Craftsmen’s Tools for Craftsmen Who have Suffer From Disaster : Obtaining Relief for Medical Treatment in the case of Injury Sustained in Disaster : Obtaining Housing Relief in the Case of Damage Sustained in Disaster : Obtaining Relief for Damages Caused to Crops Due to Any Disaster or Attack by Wild Elephant : Obtaining Relief for Disasters Faces by Small Scale Entrepreneurs  and the Self Employed : Obtaining  Dry Ration Relief for Families of Fishermen  Disappeared in the Sea : පිසූ ආහාර සැපයීම : වියළි ආහාර සැපයීම : අවමංගල්‍යාධාර ලබාදීම : මුළුතැන්ගෙයි උපකරණ සහනාධාරය : වෘත්තීය මෙවලම් සහනාධාරය : වෛද්‍ය ප්‍රතිකාර සහනාධාරය : නිවාස සහනාධාරය : වගාව්න්ට සිදුවී ඇති හානි සදහා වූ සහනාධාරය : කුඩාපරිමාණ ව්‍යාපාරිකයින් හා ස්වයංරැකියාධාරීන් වෙනුවෙන් සහනාධාරය : ධීවරයින්ගේ පවුල් සදහා වියළි සළාක සහනාධාරය
Other Government Organizations,Leadership Development National center (LDNC),Yodagama,,,,,Director,,, Director ,Director Mr.H.D.Sisira , 0472230246/0472230247/0472230519, 0472230247/0472230519, 0472230447/0472230519, ictrld@yahoo.com,http://www.ldnc.gov.lk,"Embilipitiya,",Leadership Training  for School Student : Leadership Training  for School Prefect : Leadership Training for Youth Club Members : Leadership  Programme on School Teachers : Feedback Workshop : Providing Residential and  lecture hall facilities . : Leadership Programme for Children home who are Unprotected : Office staff development programmers  
Other Government Organizations,National Design Centre,National Design CentreNo 10De Mel RoadKatubeddaMoratuwa,,,,,Director,Mr.  M.A.S.S.K  Chandrasiri,011-262345, Assistant Director (Marketing & Infromation) Act ,Mr. Prashantha Keerthichandra , 011-2607814, 011-2607814, 011-2607111, info@slndc.gov.lk,http://www.slndc.gov.lk,,Design Development : Market Promotion : Common Facility Service centers : Design Consultancy Service : Skill Training : Design Education : Research and Development and Technical Services
Other Government Organizations,Kurunegala Plantations Limited,No. 80,Dambulla Road,Kurunegala.,,,Chairman/Managing Director,Mr.Panduka Jayasinghe,011-5344953, Manager Human Resource & Administration ,Mr. Indika Anuradha Gunawardana , 037-2223133, , 037-2229618, ,http://,Location Map,
Other Government Organizations,National Building Research Organisation,99/1, Jawatta Road, Colombo 5.,,,Director General,Eng. (Dr.) Asiri Karunawardena,0112505149, Senior Scientist (Program) ,B V P Jayakody , 0112588946 Ext 214, 0112588946: 0112503431: 0112500354, 0112502611, nbro@sltnet.lk,http://www.nbro.gov.lk,Location Map,"Testing of Building Materials  : Geotechnical Investigations and Testing : Environmental Monitoring and Management : Landslide Risk Management : Human Settlements Planning and Training : Project Management : Design, Construction Supervision & Project Monitoring"
Other Government Organizations,Information and Communication Technology Agency of Sri Lanka,160/24,Kirimandala Mawatha, Narahenpita,Colombo 05.,,Chairperson,Mrs. Chithrangani Mubarak,,  , , , +94 11 2 369099: +94 11 2 369100, +94 11 2 369091, info@icta.lk,http://www.icta.lk,Location Map,"Policy,Leadership & Institutional Development : Information Infrastructure : Re-engineering Government : Human Resources Capacity Building : Investment and Private Sector Development"
Other Government Organizations,Disaster Management Centre,Vidya MawathaColombo-07,,,,,Director General,Major Gen.L.B.R.Mark(Retd.),"Tel:-011-2136100,011-2136101", Assistant Director (Research and Development) ,Mr.Srimal Samansiri , 011-2136166, 011-2136136 : 011-2136222, 0112-670079:0112-670025, info@dmc.gov.lk: dg@dmc.gov.lk,http://www.dmc.gov.lk,Location Map,"Disaster Mitigations and Risk Reduction services : Early Warning Dissemination : Preparedness Planning : Training, Education & Public Awareness : Emergency Operations"
Other Government Organizations,Director General's Office of Merchant Shipping,Director General's Office of Merchant Shipping ,1st floor,Bristol Building,No.43/89,York StreetColombo ‍01,Director General of Merchant Shipping,Mr.A W Seneviratne,+94 112441429, Project Assistant ,Mr. Madusha Edirisinghe , +94 11 2 435127, +94 112435127, +94 112435160, dmsmos@sltnet.lk,http://www.dgshipping.gov.lk,,Obtaining Certificates and Endorsements From the Deck Department : Obtaining Certificates and Endorsements From the Engineering Department : Obtaining Continuous Discharge Certificate (CDC) : Re-validation of Continuous Discharge Certificate (CDC) : Registration of Seafarers : Engagement of Seafarers : Disengagement of Seafarers
Other Government Organizations,Construction Guarantee Fund,Level 1," ""Savsiripaya""No.123", Wijerama MawathaColombo 07,,,Chief Executive Officer,Lionel Mulleriyawa,"0112-673087,  0112-673088", Reception , ," 0112-673087,  0112-673088,  0112-670966 (Fax)", 0112-673087:  0112-673088, 0112-670966, info@cgf.gov.lk: cgfund@sltnet.lk,http://www.cgf.gov.lk,Business Hours : 0900 - 1500 hrs (Monday - Friday) : Location Map,Providing Bonds & Guarantees
Other Government Organizations,Chilaw Plantations Limited,'Kapruka Sevana'No: 165,Puttalam Road,Chilaw,,,Chairman / Chief Executive Officer,Dr. Sunil Jayasekara,, Assistant General Manager - Administration ,Mr.S. Baskeran , +94 - 0325741273, +94 - 0115234791, +94 - 0115577992, cpl2@mobitelnet.lk,http://,,
Corporation,State Printing Corporation,State Printing Corporation,Panaluwa,Padukka.,,,Chairman,Mr.Jayampathi Bandara Heenkenda,"2757508,2830594", Asistant Works Mnager ,Mr.T.M.R.N.Thennakoon , 2830595, 2757508 :2757504, 2757506, ,http://,Location Map,"Printing of school Text books : Manufacturing of exercise books and other stationery items. : Printing Mahajana Sampatha,Ridee Rekha Certificates,Post Offiece Lables,airport super draw : Ministries,Government Department & Private sector special printing works."
Other Government Organizations,Ceylon Fertilizer Co.Ltd.,Bishop Hills,Hunupitiya,Wattala.,,,Chairman,Mr.Buddhika Madihahewa,011-2947764, Asst.IT Manager ,Dumith Rathanayake , 0112947759, 0112944000:0112930298:0112930299, 0112948831, info@lakpohora.lk,http://www.lakpohora.lk,Location Map,Marketing of Subsidy Fertilizer & Non Subsidy Fertilizer
Corporation,State Timber Corporation,"""Sampath Paya""No. 82",Rajamalwatta Road,Battaramulla,Sri Lanka,,Chairman,Mr. K.W. Shantha Bandara,+94 11 2 866610,  Manager(Information Technlogy) ,A.G. Maduwage , +94 11 2 866606 , +94 11 2866601-04, +94 11 2866600, dpmstc@sltnet.lk,http://www.timco.lk,,"Purchase Timber (Logs / Sawn ) for your need : Selecting Timber for your need : Purchase House_Hold Furniture & Office Furniture : Supplying  sleepers and transmission poles  : State Timber Corporation Circuit Bungalow Booking : State Timber Corporation ""PRASADA ABIMANIE"" Furniture package for government employees on easy pay : Timber Stocks "
Corporation,State Pharmaceuticals Corporation,No.75, Sir Baron Jayathilake Mawatha, Colombo 01, Sri Lanka.,,Chairman,Sarath Liyanage,,  , , , +94 (0)11 2320356-9, +94 (0)11 2447118, chairman@spc.lk,http://www.spc.lk,,
Corporation,Sri Lanka Rupavahini Corporation,,,,,,Chairman,Mr. Mohan Samaranayake,+94 11 2 587352, Chairman ,Mr. Mohan Samaranayake , +94 11 2 587352, +94 11 2 501050-53: +94 11 2 599505-9, +94 11 2 580131, chmn@rupavahini.lk,http://www.rupavahini.lk," : P.O.Box  2204,
Independence   Square,
Baudhaloka Road,
Colombo 07. : �",
Corporation,State Development and Construction Corporation ,No.07, Borupana Road, Ratmalana,,,Chairman,Eng.A.V.P.Vijitha Pandithasekara,011-2611517, General Manager ,Eng.M.D.S.Wijayabandara , 0112638015, 011-2607560: 011-2632146, 011-2624191, info@sdcc.lk,http://www.sdcc.lk,Location Map,Concrete products : Construction
Corporation,Sri Lanka Cashew Corporation,No. 1334.Old Kotte Road,Rajagiriya.,,,,Chairman,Mr.Sanath Weerakoon,011-2871005, General Manager ,Keerthi Jayakodiarachchi , 011 2876134, 011-2871005, 011-2884906 / 011-2869843, cashewco@dialogsl.net,http://www.cashew.lk,  : Location Map,
Corporation,Sri Lanka Ayurvedic Drugs Corporation,No. 94, Old Kottawa RoadNawinnaMaharagama,,,,Chairman,Lal Samarasinghe,0112851610, Junior Manager - Computer and Data ,K.L.S. Kumar , 0112850229, 0112850229, 0112844357, ayurvedicdrugs@sltnet.lk,http://www.ayurvediccorp.gov.lk,,
Corporation,Sri Lanka Land Reclamation & Development Corporation,"Head Office
No. 03",Sri Jayawardenapura MawathaWelikadaRajagiriya,,,,Chairman,Mr. W M A S Iddawela,"+94 112863696, +94 112877195", Deputy General Manager (Research & Designs) ,Eng. C. B. Amarasinghe , +94 11 2867532, +94 112 867369: 112 889485: 112 2878008: 112 867533: 112 868002: 112 863705: 112 889486, +94 112 868001: 112 862457, sllrdc@sltnet.lk: chairmansllrdc@sltnet.lk: gmsllrdc@sltnet:,http://www.landreclamation.lk,Location Map,Filling Approval for Low Lands : Sales of Sea Sand : Dredging : Construction : Consultancy Services : Hiring of Machinery : Testing of Engineering Materials : Holiday Bungalow : Registration open - Gymnasium at Kimbulawala
Corporation,Ceylon Petroleum Corporation,No.609, Dr. Danister De Silva Mawatha, Colombo 09,,,Chairman and Board Member of CPC,Mr. Dammika Ranatunga,+94 11 5455109 / 5455107, Chairman and Board Member of CPC ,Mr. Dammika Ranatunga , +94 11 5455109 /  5455107, +94 11 5455455/ +94 11 5455126/ +94 11 5455127, +94-11-5455421/ +94-11-5455400 , Chairmancpc@ceypetco.gov.lk,http://www.ceypetco.gov.lk,Location Map,CEYPETCO New Dealerships : Consumer Complaints : Services Provided by the Marketing Function : Current Product Prices
Corporation,Sri Lanka State Trading (General) Corporation,Sri Lanka State Trading (General) Corporation Ltd,,,,,The Chairman,Pradeep Gunawardena,+94 0112 422341, General Manager ,Parakum Wijayarathne , +94 0112 436418, +94 0112 422341 / +94 0112 440880, +94 011 2447970, lankagen [at] sltnet.lk,http://www.stcgeneral.com,"# 100, Nawam Mawatha, : (P.O. Box 1686) : Colombo 02. : Location Map",
Corporation,Ceylon Fishery Harbours Corporation,No.15Rockhouse Lane,Colombo 15.,,,,Chairman,MR.Upali Liyanage,0112525065, IT Manager ,MR.Rukmal Hettiarachchi , 0112525065, 0112523051: 0112524607, , ,http://www.cfhc.lk, ,Principal Services  : Safe Anchorages and other shore facilities
Government Banks,Central Bank Of Sri Lanka,Central Bank of Sri LankaP.O. Box 590,30, Janadhipathi Mawatha,Colombo 01Sri Lanka .,,Governor,Indrajit Coomaraswamy,"Tel +94 11 2477477
Fax +94 11 2477677",  , , , 94 -11 -2477000: 94 -11 -2440330: 94 -11 -2330220, , cbslgen@cbsl.lk ,http://http://www.cbsl.gov.lk,,Departments & Divisions
Presidential Secretariat,Presidential Secretariat,"Presidential Secretariat
Galle FaceColombo 01.",,,,,Secretary to the President,Mr. Austin Fernando,prsec@presidentsoffice.lk, Assistant Director (Information & Communication Technology) ,Mr. C.P.Mallikarachchi , +94 11 4354354, +94 11 4 354354 , +94 11 2 340340, ps@presidentsoffice.lk:chanaki@presidentsoffice.lk,http://www.presidentsoffice.gov.lk,Location Map,
