_ - category - category,_ - name - name,_ - gi_fax,_ - cp_name,_ - gi_email,_ - cp_contact,_ - gi_website,_ - gi_telephone,_ - cp_designation,_ - address_line_4,_ - address_line_2,_ - address_line_3,_ - address_line_1,_ - hod_designation - hod_designation,_ - hod_name - hod_name,_ - hod_contact - hod_contact,_ - services - services
Other Government Organizations,National Disaster Relief Services Centre, +94-11-2681493,Mr. P. L. L. P. Pannila ,dndmc@sltnet.lk,[u' +94 11 2681492'],['http://www.ndmc.gov.lk'],+94-11-269 5909, Data Entry Operator ,Bauddhaloka Mw.,No. 02-216,BMICH,Ministry of Disaster Management,Asst. Director,Mr. A.W.M. Rifa Wadood,+94 11 2681492,Cooked Meals for People Subject to Distress : Dry Rations Meals for People are Subject to Distress  : Funeral Aids In Respect of Those Who Died of Disaster : Obtain Kitchen Equipment Subsidy for Broken down Families : Subsidy for Craftsmen’s Tools for Craftsmen Who have Suffer From Disaster : Obtaining Relief for Medical Treatment in the case of Injury Sustained in Disaster : Obtaining Housing Relief in the Case of Damage Sustained in Disaster : Obtaining Relief for Damages Caused to Crops Due to Any Disaster or Attack by Wild Elephant : Obtaining Relief for Disasters Faces by Small Scale Entrepreneurs  and the Self Employed : Obtaining  Dry Ration Relief for Families of Fishermen  Disappeared in the Sea : පිසූ ආහාර සැපයීම : වියළි ආහාර සැපයීම : අවමංගල්‍යාධාර ලබාදීම : මුළුතැන්ගෙයි උපකරණ සහනාධාරය : වෘත්තීය මෙවලම් සහනාධාරය : වෛද්‍ය ප්‍රතිකාර සහනාධාරය : නිවාස සහනාධාරය : වගාව්න්ට සිදුවී ඇති හානි සදහා වූ සහනාධාරය : කුඩාපරිමාණ ව්‍යාපාරිකයින් හා ස්වයංරැකියාධාරීන් වෙනුවෙන් සහනාධාරය : ධීවරයින්ගේ පවුල් සදහා වියළි සළාක සහනාධාරය
Other Government Organizations,National Design Centre,011-2607111,Mr. Prashantha Keerthichandra ,info@slndc.gov.lk,[u' 011-2607814'],['http://www.slndc.gov.lk'],011-2607814, Assistant Director (Marketing & Infromation) Act ,,,,National Design CentreNo 10De Mel RoadKatubeddaMoratuwa,Director,Mr.  M.A.S.S.K  Chandrasiri,011-262345,Design Development : Market Promotion : Common Facility Service centers : Design Consultancy Service : Skill Training : Design Education : Research and Development and Technical Services
Other Government Organizations,National Building Research Organisation,112502611,B V P Jayakody ,nbro@sltnet.lk,[u' 0112588946 Ext 214'],['http://www.nbro.gov.lk'],0112588946: 0112503431: 0112500354, Senior Scientist (Program) ,, Jawatta Road, Colombo 5.,99/1,Director General,Eng. (Dr.) Asiri Karunawardena,112505149,"Testing of Building Materials  : Geotechnical Investigations and Testing : Environmental Monitoring and Management : Landslide Risk Management : Human Settlements Planning and Training : Project Management : Design, Construction Supervision & Project Monitoring"
Other Government Organizations,Leadership Development National center (LDNC),0472230447/0472230519,Director Mr.H.D.Sisira ,ictrld@yahoo.com,[u' 0472230246/0472230247/0472230519'],['http://www.ldnc.gov.lk'],0472230247/0472230519, Director ,,,,Yodagama,Director,,,Leadership Training  for School Student : Leadership Training  for School Prefect : Leadership Training for Youth Club Members : Leadership  Programme on School Teachers : Feedback Workshop : Providing Residential and  lecture hall facilities . : Leadership Programme for Children home who are Unprotected : Office staff development programmers  
Other Government Organizations,Information and Communication Technology Agency of Sri Lanka,+94 11 2 369091, ,info@icta.lk,[u' '],['http://www.icta.lk'],+94 11 2 369099: +94 11 2 369100,  ,Colombo 05.,Kirimandala Mawatha, Narahenpita,160/24,Chairperson,Mrs. Chithrangani Mubarak,,"Policy,Leadership & Institutional Development : Information Infrastructure : Re-engineering Government : Human Resources Capacity Building : Investment and Private Sector Development"
Other Government Organizations,Kurunegala Plantations Limited,037-2229618,Mr. Indika Anuradha Gunawardana ,,[u' 037-2223133'],['http://'],, Manager Human Resource & Administration ,,Dambulla Road,Kurunegala.,No. 80,Chairman/Managing Director,Mr.Panduka Jayasinghe,011-5344953,
Other Government Organizations,Director General's Office of Merchant Shipping,+94 112435160,Mr. Madusha Edirisinghe ,dmsmos@sltnet.lk,[u' +94 11 2 435127'],['http://www.dgshipping.gov.lk'],+94 112435127, Project Assistant ,No.43/89,1st floor,Bristol Building,Director General's Office of Merchant Shipping ,Director General of Merchant Shipping,Mr.A W Seneviratne,+94 112441429,Obtaining Certificates and Endorsements From the Deck Department : Obtaining Certificates and Endorsements From the Engineering Department : Obtaining Continuous Discharge Certificate (CDC) : Re-validation of Continuous Discharge Certificate (CDC) : Registration of Seafarers : Engagement of Seafarers : Disengagement of Seafarers
Other Government Organizations,Disaster Management Centre,0112-670079:0112-670025,Mr.Srimal Samansiri ,info@dmc.gov.lk: dg@dmc.gov.lk,[u' 011-2136166'],['http://www.dmc.gov.lk'],011-2136136 : 011-2136222, Assistant Director (Research and Development) ,,,,Vidya MawathaColombo-07,Director General,Major Gen.L.B.R.Mark(Retd.),"Tel:-011-2136100,011-2136101","Disaster Mitigations and Risk Reduction services : Early Warning Dissemination : Preparedness Planning : Training, Education & Public Awareness : Emergency Operations"
Other Government Organizations,Ceylon Fertilizer Co.Ltd.,112948831,Dumith Rathanayake ,info@lakpohora.lk,[u' 0112947759'],['http://www.lakpohora.lk'],0112944000:0112930298:0112930299, Asst.IT Manager ,,Hunupitiya,Wattala.,Bishop Hills,Chairman,Mr.Buddhika Madihahewa,011-2947764,Marketing of Subsidy Fertilizer & Non Subsidy Fertilizer
Other Government Organizations,Chilaw Plantations Limited,+94 - 0115577992,Mr.S. Baskeran ,cpl2@mobitelnet.lk,[u' +94 - 0325741273'],['http://'],+94 - 0115234791, Assistant General Manager - Administration ,,Puttalam Road,Chilaw,'Kapruka Sevana'No: 165,Chairman / Chief Executive Officer,Dr. Sunil Jayasekara,,
Institutes & Institutions,National Institute of Occupational Safety and Health ,011- 2585425,Mrs. V. De. Zoysa ,dolnioshl@sltnet.lk,[u' +94 11 2 598672'],['http://'],011-2585425, Librarian ,,Jawatte Rd,Colombo5.,97,Director General,Dr. H.D. Wickramathilaka,+94 11 2 501403,On Site /In House Awareness Programmes : Diploma in OSH
Institutes & Institutions,Medical Research Institute,+94112-691495,Dr Anil Samaranayaka (Acting Director) ,director@mri.gov.lk,"[u' +94112693532-34,+94-112677715']",['http://http://www.mri.gov.lk'],+94112-693532-34,  Acting Director MRI , Colombo 08,Sir Danister De Silva Mawatha,(P.O Box 527),527,Acting Director,Dr Anil Samaranayaka,+94-112677715,MRI : Teaching : Facilitate researchers
Institutes & Institutions,"National Institute of Labour Studies, Sri Lanka",+94 11 2786547,Ms. Lankika Weerasinghe ,admin@nils.gov.lk,[u' +94 11 2 786546'],['http://www.nils.gov.lk'],+94 11 2786547, Accountant ,Battaramulla., Pannipitiya Road, Pelawatta,No. 267,Director General,Mr. Saman D. Waduge,Tel: +94 11 2786549,Courses for Labour Law & Industrial Relations : Courses for Human Resource Management : Courses for Workplace Productivity : Research : Consultancy : Conducting Examinations : On Demand Training : Language Training
Institutes & Institutions,Industrial Technology Institute,+94-112379850, ,info@iti.lk,[u' +94-11-2379800'],['http://http://www.iti.lk%20'],+94-11-2379800,  ,, Bauddhaloka Mawatha, Colomco 07,No. 363,Director/CEO, Dr. Sirimal Premakumara.,+94-11-2379802,Testing and Calibration services : Contracts and consulting service  : Training  : Sciences and Technology Information Services 
Institutes & Institutions,Ceylon-German Technical Training Institute,+94 11 2 632391, ,cgtti[at]sltnet.lk,[u' '],['http://http://www.cgtti.lk'],+94 11 2 605625: +94 11 2 605535,  ,Sri Lanka., Galle Road,Mount Lavinia (Moratuwa),582,Director/Principal (Acting),Mr. Shantha Karunarathna,+94 11 2 605625,
Institutes & Institutions,Hector Kobbekaduwa Agrarian Research and Training Institute,+94-11-2696743, ,director@harti.lk,[u' +94-11-2698539-41 / +94-11-7417100-5'],['http://www.harti.gov.lk'],+94-11-2696743/ +94-11-2696743,  ,Sri Lanka., Wijerama Mawatha,Colombo 07,Hector Kobbekaduwa Agrarian Research and Training Institute114,Director,Mr. Lalith Kantha Jayasekara,"
					",
Divisional Secretariats,"Divisional Secretariat, Colombo",011-2325512,Mrs.M.A.S.Kanchana Gunawardhana ,ds@colombo.ds.gov.lk,[u' 011-2320572'],['http://www.colombo.ds.gov.lk'],011-2437247, Assistant Divisional Secretary ,Colombo 12.,Colombo Divisional Secretariat,Dam Street,Divisional Secretary,Divisional Secretary,Mr.D.P.Wickramasinghe,011-2434902,Obtaining a Government Land Free of Charge : Obtaining Free Government Land Developed Unauthorized : L.L. permit to a Jayabhumi / Swarnabhumi grant : Obtaining Government Lands on Lease : The Unauthorized Developed Land Obtaining on Lease : Pay Valued Amount of Acquired Lands : Permit to fell trees : Obtaining Permits for Transporting Timber : Obtaining Permits for Transporting Furniture : Liquor Permit : Pawnbrokers License : Income Statement : Obtain Conductors License : Obtaining Public Assistance : Obtaining Assistance for Illness : Obtaining Probation Assistance : Obtaining Equipment for the Handicapped : Obtaining Funds in Case of Emergency : Causal Relief fund : Elderly and Child Welfare : Special Fund : Birth certificate from Divisional Secretariat : Copy of birth certificate from divisional secretariat : Make changes in the present birth certificate through divisional secretariat : Marriage certificate from divisional secretariat : Copy of Marriage certificate from divisional secretarit : Registration of Death Through Divisional Secretariat : Copy of death certificate from divisional secretaria : Obtain New Vehicle License (Three Wheeler / Motor Cycles) from Divisional Secretariat : Renewal of Vehicle License Through Divisional Secretariat : Civil Pension Schemes : Widows/Widowers and Orphans Pension Scheme : Appeal for Samurdhi relief : Handling of complaints of wrongfully obtained Samurdhi relief
Corporation,State Timber Corporation,+94 11 2866600,A.G. Maduwage ,dpmstc@sltnet.lk,[u' +94 11 2 866606 '],['http://www.timco.lk'],+94 11 2866601-04,  Manager(Information Technlogy) ,Sri Lanka,Rajamalwatta Road,Battaramulla,"""Sampath Paya""No. 82",Chairman,Mr. K.W. Shantha Bandara,+94 11 2 866610,"Purchase Timber (Logs / Sawn ) for your need : Selecting Timber for your need : Purchase House_Hold Furniture & Office Furniture : Supplying  sleepers and transmission poles  : State Timber Corporation Circuit Bungalow Booking : State Timber Corporation ""PRASADA ABIMANIE"" Furniture package for government employees on easy pay : Timber Stocks "
Corporation,State Printing Corporation,2757506,Mr.T.M.R.N.Thennakoon ,,[u' 2830595'],['http://'],2757508 :2757504, Asistant Works Mnager ,,Panaluwa,Padukka.,State Printing Corporation,Chairman,Mr.Jayampathi Bandara Heenkenda,"2757508,2830594","Printing of school Text books : Manufacturing of exercise books and other stationery items. : Printing Mahajana Sampatha,Ridee Rekha Certificates,Post Offiece Lables,airport super draw : Ministries,Government Department & Private sector special printing works."
Corporation,State Pharmaceuticals Corporation,+94 (0)11 2447118, ,chairman@spc.lk,[u' '],['http://www.spc.lk'],+94 (0)11 2320356-9,  , Sri Lanka., Sir Baron Jayathilake Mawatha, Colombo 01,No.75,Chairman,Sarath Liyanage,,
Corporation,Sri Lanka Land Reclamation & Development Corporation,+94 112 868001: 112 862457,Eng. C. B. Amarasinghe ,sllrdc@sltnet.lk: chairmansllrdc@sltnet.lk: gmsllrdc@sltnet:,[u' +94 11 2867532'],['http://www.landreclamation.lk'],+94 112 867369: 112 889485: 112 2878008: 112 867533: 112 868002: 112 863705: 112 889486, Deputy General Manager (Research & Designs) ,,Sri Jayawardenapura MawathaWelikadaRajagiriya,,"Head Office
No. 03",Chairman,Mr. W M A S Iddawela,"+94 112863696, +94 112877195",Filling Approval for Low Lands : Sales of Sea Sand : Dredging : Construction : Consultancy Services : Hiring of Machinery : Testing of Engineering Materials : Holiday Bungalow : Registration open - Gymnasium at Kimbulawala
Corporation,State Development and Construction Corporation ,011-2624191,Eng.M.D.S.Wijayabandara ,info@sdcc.lk,[u' 0112638015'],['http://www.sdcc.lk'],011-2607560: 011-2632146, General Manager ,, Borupana Road, Ratmalana,No.07,Chairman,Eng.A.V.P.Vijitha Pandithasekara,011-2611517,Concrete products : Construction
Corporation,Sri Lanka Ayurvedic Drugs Corporation,112844357,K.L.S. Kumar ,ayurvedicdrugs@sltnet.lk,[u' 0112850229'],['http://www.ayurvediccorp.gov.lk'],112850229, Junior Manager - Computer and Data ,, Old Kottawa RoadNawinnaMaharagama,,No. 94,Chairman,Lal Samarasinghe,112851610,
Corporation,Ceylon Petroleum Corporation,+94-11-5455421/ +94-11-5455400 ,Mr. Dammika Ranatunga ,Chairmancpc@ceypetco.gov.lk,[u' +94 11 5455109 /  5455107'],['http://www.ceypetco.gov.lk'],+94 11 5455455/ +94 11 5455126/ +94 11 5455127, Chairman and Board Member of CPC ,, Dr. Danister De Silva Mawatha, Colombo 09,No.609,Chairman and Board Member of CPC,Mr. Dammika Ranatunga,+94 11 5455109 / 5455107,CEYPETCO New Dealerships : Consumer Complaints : Services Provided by the Marketing Function : Current Product Prices
Bureaus,Women’s Bureau Of Sri Lanka,+94 11 2 504934 ,Mrs. Manel Chandrasekara ,,[u' +94 11 2 368211'],['http://'],+94 11 2 504935 , Research Officer ,,,,<!--		@page { size: 8.5in 11in; margin: 0.79in }		P { margin-bottom: 0.08in }	-->,Director,Mrs. N. R. Gunasekara,,Economic Empowerment Program : Wanitha Shakthi Bank Societies : Organizing Rural women to establish women societies based on the Gramaseva divisions of the resp
Corporation,Ceylon Fishery Harbours Corporation,,MR.Rukmal Hettiarachchi ,,[u' 0112525065'],['http://www.cfhc.lk'],0112523051: 0112524607, IT Manager ,,Colombo 15.,,No.15Rockhouse Lane,Chairman,MR.Upali Liyanage,112525065,Principal Services  : Safe Anchorages and other shore facilities
Bureaus,CREDIT INFORMATION BUREAU OF SRI LANKA,112338259,Ms. Sanjeewanie Ratnayake ,info@crib.lk,[u' 0112131320'],['http://http://www.crib.lk'],112131313, Chief Manager - Operations , Colombo 01, No.25, Sir Baron Jayathilake Mawatha,Whiteaways Building,Actg. General Manager,Mr. Janaka Lakmal,"Whiteaways Building, No.25, Sir Baron Jayathilake Mawatha, Colombo 01, Sri Lanka",Credit Information Reports (CIR) : Self Inquiry Credit Report (iReport)
Bureaus,Geological Survey and Mines Bureau,+94-11-2886273,Mr. T. Dhanayake  ,gsmb@slt.lk,[u' +94-11-2886289'],['http://www.gsmb.gov.lk'],+94 11 2886289/2886290/2887820/2887821/2887822/2887823, Registrar/ Information Officer  ,, Epitamulla Road,Pitakotte,569,Chairman,Mr. Asela Iddawela ,"+94 11 2886268
","Obtaining Permit for Mining License for Mineral : Obtaining License for Mineral Export : Obtaining Trading License for Mineral : Obtaining Transport License for Mineral Transport : Geological Maps  : Mineral Resources Exploration :  Analytical Laboratory : Petrology Laboratory : Seismic Data and Tsunami Center : Obtaining Permit for Mineral Excavation.  : Obtaining Permit for Mineral Exploration : Obtaining Permits for Export Mineral  : Obtaining Trade Permit for Sand and Exportable Mineral  : Obtaining Transport Permits for Sand Clay, Gravel : Geological Maps : Survey of Mineral Deposits : Other Geological Surveys : Analysis of Seismic Data and Tsunami Warnings : Rock Laboratory  : Seismic Information"
Government Banks,HDFC Bank of Sri Lanka,+94 112 448 392: +94 112 2356 827: +94 112 432 190,Mrs. H.S.Gunathilake ,hdfc@hdfc.lk,[u' +94 112 543 096'],['http://www.hdfc.lk'],+94 112 356 800:+94 112 447 354:                 +94 112  447 314: +94 115 73 73 73: , AGM  (Business Development & Marketing) ,,,,P.O. Box 2085Sir Chittampalam A Gardiner MawathaColombo 02,Chairman,Mr. Mr. R. J. De Silva,+94 11 2 433 901,Children's Savings : General Savings : Investment Plans : Children's Investment Plans : Kedella Housing Loan : EPF Loan - Shrama Udana : Sirisara Housing Loan : Situ Sevana -  Lifestyle Loan : Diri Sevana - Loan for Mobile Banking Customers : HDFC Gold Loan : HDFC Lifestyle Loan
Bureaus,Sri Lanka Bureau of Foreign Employment ,+94-11-2880500,Mr. A.K.U. Rohana ,chmn@slbfe.lk,[u' Tel :+94  112 867976  Fax:+94 112 866002'],['http://www.slbfe.lk'],+94-11-2864101-5 :+94 11 2880500, Deputy General Manager (Information Technology) , Battaramulla., Denzil Kobbekaduwa Mawatha,koswatta,No.234,Chairman,,+94 11-2867599  Fax : +94 11 2864141,Procedures for korean recruitment : Training for foreign employment : Register a migrant worker : How to obtaining a Licence for a new recruitment agency : Renewing Licenses of the Foreign Recruitment Agencies : Welfare facilities for migrant workers : Procedures for complaints : Services of Airport and Sahana Piyasa welfare centre
Government Banks,Central Bank Of Sri Lanka,, ,cbslgen@cbsl.lk ,[u' '],['http://http://www.cbsl.gov.lk'],94 -11 -2477000: 94 -11 -2440330: 94 -11 -2330220,  ,Colombo 01Sri Lanka .,30, Janadhipathi Mawatha,Central Bank of Sri LankaP.O. Box 590,Governor,Indrajit Coomaraswamy,"Tel +94 11 2477477
Fax +94 11 2477677",Departments & Divisions
Presidential Secretariat,Office of the Cabinet of Ministers,+94 11 2 389150 / +94 11 2 389151 / +94 11 2 323730,Mr.W.D.J.Fernando ,secretary@cabinetoffice.gov.lk : info@cabinetoffice.gov.lk,[u' +94 11 2 329621'],['http://www.cabinetoffice.gov.lk'],+94 11 2 422438, Additional Secretary ,,Sir Baron Jayathilaka Mawatha,Colombo 01,Office of the Cabinet of MinistersRepublic Square,Secretary to the Cabinet,Mr. Sumith Abeysinghe,+94 11 2 329620,
Government Banks,Bank of Ceylon,+94-11-2321160,Mr. W. G. Ariyarathna ,boc@boc.lk,[u' +94 11 2 452018'],['http://www.boc.lk'],+94-11-2446790-811/+94-11-2338741 –55, Assitant General Manager ,, Bank of Ceylon SquareColombo 1Sri Lanka,,No.1,Chairman,Mr. Razik Zarook,+94 11 2 348877,Safe Deposit Lockers : Ceybank Gold Shop : Ceybank Insurance Services : E-Channeling : Local Fund Transfer Facilities : International Fund Transfers : ATM Services (Visa Electronic Debit Card) : Credit Cards : VISA ELECTRON Debit Card : Internet Banking Facilities : Pay Mate Mobile Fund Payment Facility : BOC I-net Facility : Obtain of Travelers Cheques from Bank of Ceylon : Bank Guarantees : Investments in Government Securities. : Repurchase Agreement. : Reverse Repurchase Agreement : Forward Exchange Contracts : Export Relationship : Import Relationship : Current Accounts  (Demand Deposit) : Ordinary Rupee Savings Accounts : Children Savings Accounts : Other Special Savings Accounts Schemes : Term Deposits (Fixed Deposit) : Foreign Currency Account Schemes of Bank of Ceylon : Procedures of Bank of Ceylon : Obtain Loans for Agricultural Purposes : Obtain Micro Finance Facilities : Obtain Fishery Loans : Obtain Loans for Agri Businesses : Credit Scheme for Transport : Obtain Small & Medium Loans : Small and Medium Enterprises (SME) Loan Scheme : Obtain Educational Loans : Agro Livestock Development Loan Scheme (ALDLS) : Call Centre
Presidential Secretariat,President's Fund,+94 11 2  2331243,Mr. Chathura Liyana Gunawardhana ,fundsecretary@presidentsoffice.lk,[u' +94 11 2 382316'],['http://www.presidentsfund.gov.lk'],+94 11 2  354354 (Ext- 3800 / 3801)  /  +94 11 2  354544  /  +94 11 2  354555, Assistant Secretary to the President ,Janadhipathi Mawatha,"
Renuka Building",Ground Floor,No.41,Secretary,Mr. D. N. Nanayakkara,+94 11 2 431610,Medical assistance for cancer treatment : Medical assistance for kidney transplantation  : Medical assistance for other surgeries and treatment : Medical Assistance for Heart Surgeries : President's Fund scholarships for A/L students
Urban Councils,Kalutara Urban Council,+94 34 226276,Mr. Asoka Ranasinghe ,info@kalutara.uc.gov.lk,[u' +94 34 2222285'],['http://www.kalutara.uc.gov.lk'],+94 34 2222273/75, Secretary ,, Kalutara South.,,Urban Council - KalutaraNo.2,Chairman of Council,Deshakeerthi Al Haj M.M.M Jauffer,+94 34 2222277,"APPROVING OF BUILDING PLANS : ISSUE OF CERTIFICATE OF CONFORMITY : ISSUE OF STREET LINE CERTIFICATES : EXCISE CONTROL OVER UNAUTHORISED CONSTRUCTIONS : CUTTING OF TREES THAT WOULD POSE TREATS : REPAIR OF STREET LAMPS : ROADS MAINTENANCE  : MAINTAINING OF COUNCIL BUILDINGS : MAINTAINING OF CEMETARIES, PAVEMENTS, ROUNDABOUTS, COUNCILS PLAY GROUNDS, PARKS,  : MAINTAINING OF PUBLIC BATHING, WELLS, PUBLIC BUS HALTS AND PUBLIC LAVATRINES : INFECTIOUS DISEASES CONTROL : GARBAGE COLLECTION AND DISPOSAL : CLEANING OF GRAINAGE SYSTEM : HOLDING      CLINICS : APPROVING OF BLOCK OF LAND"
Prime Minister's Office,Prime Minister’s Office,+94 11 2 575454 / +94 11 2 574713 / +94 11 2 575310,Mrs. Thilini Gamage ,info@pmoffice.gov.lk;  secpm@sltnet.lk,[u' +94 11 2 575311'],['http://www.pmoffice.gov.lk'],+94 11 2 575317 / +94 11 2 575318 / +94 11 2 370737 / +94 11 2 370738, Coordinating Secretary to the Secretary to the Prime Minister ,,  Earnest de Silva Mawatha,  Colombo-07,No 58,Secretary to the Prime Minister,Mr. Saman Ekanayake,+94 11 2 575311,
Government Hospitals,Lady Ridgeway Hospital for Children,011 2686859,Ms. H.P.K.P. Kumari ,directorlrh@yahoo.com,[u' 011 2693711 ext 307'],['http://www.lrh.health.gov.lk'],011 2693711: 011 2693712, Public Management Assistant ,,Colombo 08, Sri Lanka.,Dr. Denister De Silva Mawatha,Hospital Director,Dr. W.K.Wickremasinghe,011 2691521,"Accident and animal bite casualty care for children : Out patient medical and surgical care for children : අන්තරාසර්ග  හා දියවැඩියා : General medical care for children : General surgical care for children : Heart (cardiology) care  for children : Eye (Opthalmology)  care for children : Ear, Nose and Throat (ENT) care for children : Skin (dermatology) care for children : Neurology care  for children : Kidney (nephrology) care for children : Orthopaedic care for children : Child Guidance / Psychiatric care for children : Rheumatological care for children : Cardiothoracic surgical care for children : Plastic surgical care for children : Cancer (oncological) care for children : Dental care for children : Child Immunization service : Occupational Therapy service for children : Physiotherapy service for children : Language and speech therapy service for children"
Provincial Councils,"Department of Probation and Child Care Services, Western Province ",011 - 2865848,M.S.Manike ,probationdepartmentwp@yahoo.com,[u' 011-2865999'],['http://www.probation.wp.gov.lk'],011 – 2865997(Commissioner):    011 – 2865998(Asst Comm.): 011 – 2865999(General), Adminstrative Officer ,,Denzil Kobbekaduwa Mawatha,Battaramulla.,204,Commissioner,Mrs.Chandhima Dissanayake,011-2865997,Providing children with temporary custody and facilities on court orders. : Providing residential protection and facilities  : Assisting the courts of law : Assigning Children for Legal Adoption : Rehabilitation and Re-socialization of Children  : Obtaining helps for the children of Low income Families : Ad Hoc Aids for Child Development / Day Care Centers : General Services provided by the Department
Provincial Councils,"Ministry of Road development, Housing, Water supply, Consumer affairs & Co-operative",055-2222337,M.A.B. Daya Senarath ,secretary@roadmin.up.gov.lk,[u' 055-2222337'],['http://www.roadmin.up.gov.lk'],055-2222337, Secretary ,,,,"provincial council new building complax R.H.Gunawardena Mw"" Badulla  �",Secretary,M.A.B Daya Senarath,055-2222337,water supply service : house lone
Provincial Councils,Office of the Provincial Commissioner of Motor Traffic (Western Province),112436412,Mr ,it@motortraffic.wp.gov.lk: motortraffic.westernprovince@gmai,"[u' Commissioner of Motor Traffic Tel : 0112436412, 0113056335']",['http://'],112436415, A.K.R.AlawatteDesignation ,Colombo-10,New Secretariat Building,Maligawatte,1st floor,Commissioner of Motor Traffic ,Mr : A.K.R.Alawatte,"0112436412, 0113056335",Revenue License : Free License : Notice of non-use : Conductor License : Dealer’s Licenses (Trade License)
